semestre_conclusao,111635055 - GEOGRAFIA,111635060 - HISTÓRIA,118589266 - HISTÓRIA,2000012 - CIÊNCIAS CONTÁBEIS,2000019 - DIREITO,2000044 - GEOGRAFIA,2000047 - HISTÓRIA,2000055 - MATEMÁTICA,2000064 - PEDAGOGIA,7191770 - SISTEMAS DE INFORMAÇÃO
2009.1,2.0,0.0,24.0,2.0,1.0,0.0,0.0,6.0,27.0,0.0
2009.2,24.0,22.0,5.0,43.0,27.0,0.0,0.0,29.0,2.0,0.0
2010.1,0.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,32.0,0.0
2010.2,32.0,25.0,1.0,32.0,32.0,0.0,0.0,31.0,4.0,0.0
2011.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,26.0,0.0
2011.2,29.0,20.0,1.0,32.0,28.0,0.0,0.0,8.0,6.0,0.0
2012.1,5.0,2.0,1.0,8.0,1.0,0.0,0.0,0.0,34.0,0.0
2012.2,35.0,31.0,1.0,31.0,35.0,26.0,2.0,15.0,2.0,0.0
2013.1,1.0,1.0,1.0,5.0,14.0,3.0,3.0,18.0,24.0,7.0
2013.2,30.0,29.0,0.0,41.0,34.0,19.0,15.0,22.0,6.0,0.0
2014.1,0.0,1.0,0.0,2.0,4.0,2.0,3.0,1.0,30.0,4.0
2014.2,37.0,31.0,0.0,32.0,35.0,15.0,9.0,0.0,0.0,3.0
2015.1,3.0,0.0,0.0,4.0,6.0,4.0,11.0,10.0,24.0,2.0
2015.2,28.0,4.0,0.0,41.0,45.0,5.0,5.0,9.0,8.0,4.0
2016.1,6.0,26.0,0.0,4.0,10.0,17.0,5.0,5.0,25.0,2.0
2016.2,18.0,24.0,0.0,38.0,40.0,22.0,4.0,9.0,7.0,7.0
2017.1,4.0,1.0,0.0,1.0,4.0,5.0,1.0,2.0,19.0,1.0
2017.2,23.0,28.0,0.0,36.0,30.0,8.0,6.0,6.0,5.0,5.0
2018.1,3.0,4.0,0.0,1.0,6.0,9.0,0.0,1.0,24.0,6.0
2018.2,14.0,30.0,0.0,19.0,34.0,10.0,3.0,8.0,5.0,14.0
2019.1,2.0,6.0,0.0,0.0,3.0,1.0,0.0,12.0,15.0,3.0
2019.2,15.0,32.0,0.0,22.0,37.0,13.0,3.0,5.0,10.0,10.0
2020.1,7.0,7.0,0.0,1.0,19.0,3.0,0.0,5.0,27.0,3.0
2020.2,20.0,25.0,0.0,18.0,7.0,5.0,2.0,1.0,16.0,3.0
2021.1,1.0,5.0,0.0,9.0,9.0,1.0,1.0,0.0,19.0,6.0
2021.2,27.0,28.0,0.0,12.0,34.0,6.0,0.0,10.0,9.0,6.0
2022.1,7.0,9.0,1.0,11.0,7.0,6.0,1.0,12.0,26.0,7.0
2022.2,15.0,12.0,0.0,16.0,35.0,4.0,2.0,14.0,9.0,8.0
2023.1,9.0,7.0,0.0,7.0,4.0,12.0,2.0,6.0,32.0,8.0
2023.2,19.0,35.0,0.0,23.0,37.0,14.0,0.0,7.0,8.0,13.0
2024.1,0.0,9.0,0.0,9.0,2.0,3.0,0.0,4.0,31.0,10.0
2024.2,30.0,44.0,0.0,28.0,45.0,16.0,1.0,10.0,5.0,33.0
