semestre_conclusao,111635055 - GEOGRAFIA,111635060 - HISTÓRIA,118589266 - HISTÓRIA,2000012 - CIÊNCIAS CONTÁBEIS,2000019 - DIREITO,2000044 - GEOGRAFIA,2000047 - HISTÓRIA,2000055 - MATEMÁTICA,2000064 - PEDAGOGIA,7191770 - SISTEMAS DE INFORMAÇÃO
2009.1,5.5,0.0,4.92,5.0,5.5,0.0,0.0,6.17,4.72,0.0
2009.2,4.31,4.0,5.05,5.31,5.04,0.0,0.0,4.91,4.74,0.0
2010.1,4.31,4.02,5.32,5.4,5.04,0.0,0.0,4.96,4.68,0.0
2010.2,4.22,4.05,5.4,5.42,5.03,0.0,0.0,4.72,4.76,0.0
2011.1,4.23,4.05,5.43,5.43,5.03,0.0,0.0,4.65,4.72,0.0
2011.2,4.22,4.11,5.53,5.47,5.05,0.0,0.0,4.64,4.76,0.0
2012.1,4.26,4.15,5.61,5.45,5.03,0.0,0.0,4.64,4.71,0.0
2012.2,4.22,4.2,5.67,5.44,4.97,4.04,4.0,4.65,4.71,0.0
2013.1,4.21,4.23,5.74,5.46,5.0,4.05,4.3,4.7,4.71,4.5
2013.2,4.22,4.22,5.74,5.42,5.01,4.05,4.18,4.71,4.71,4.5
2014.1,4.22,4.22,5.74,5.42,5.03,4.03,4.26,4.71,4.71,4.86
2014.2,4.16,4.24,5.74,5.36,5.03,4.04,4.44,4.71,4.71,5.04
2015.1,4.17,4.24,5.74,5.37,4.98,4.08,4.52,4.76,4.68,5.09
2015.2,4.15,4.27,5.74,5.34,4.98,4.1,4.59,4.74,4.7,5.08
2016.1,4.15,4.34,5.74,5.36,4.99,4.25,4.64,4.74,4.68,5.2
2016.2,4.14,4.33,5.74,5.34,4.99,4.28,4.65,4.82,4.69,5.36
2017.1,4.16,4.34,5.74,5.34,4.99,4.3,4.7,4.83,4.68,5.33
2017.2,4.17,4.35,5.74,5.34,5.02,4.35,4.71,4.82,4.69,5.49
2018.1,4.17,4.37,5.74,5.34,5.02,4.39,4.71,4.83,4.69,5.61
2018.2,4.18,4.42,5.74,5.33,5.02,4.43,4.75,4.85,4.69,5.69
2019.1,4.19,4.43,5.74,5.33,5.02,4.43,4.75,4.92,4.7,5.8
2019.2,4.19,4.41,5.74,5.32,4.99,4.44,4.74,4.91,4.69,5.82
2020.1,4.18,4.43,5.74,5.32,4.98,4.46,4.74,4.92,4.72,5.8
2020.2,4.18,4.42,5.74,5.32,4.98,4.48,4.73,4.9,4.73,5.77
2021.1,4.18,4.44,5.74,5.34,5.0,4.48,4.73,4.9,4.72,5.95
2021.2,4.16,4.44,5.74,5.33,5.0,4.47,4.73,4.99,4.72,6.05
2022.1,4.17,4.45,6.1,5.36,5.01,4.54,4.72,4.99,4.73,6.18
2022.2,4.17,4.45,6.1,5.36,5.01,4.56,4.7,4.97,4.74,6.18
2023.1,4.17,4.47,6.1,5.38,5.03,4.62,4.8,4.99,4.74,6.24
2023.2,4.21,4.48,6.1,5.4,5.03,4.7,4.8,5.0,4.75,6.35
2024.1,4.21,4.52,6.1,5.42,5.03,4.72,4.8,5.0,4.75,6.37
2024.2,4.22,4.52,6.1,5.46,5.02,4.74,4.8,4.98,4.76,6.17
