semestre_conclusao,111635055 - GEOGRAFIA,111635060 - HISTÓRIA,118589266 - HISTÓRIA,2000012 - CIÊNCIAS CONTÁBEIS,2000019 - DIREITO,2000044 - GEOGRAFIA,2000047 - HISTÓRIA,2000055 - MATEMÁTICA,2000064 - PEDAGOGIA,7191770 - SISTEMAS DE INFORMAÇÃO
2020.1,7,7,0,1,19,3,0,5,27,3
2020.2,20,25,0,18,7,5,2,1,16,3
2021.1,1,5,0,9,9,1,1,0,19,6
2021.2,27,28,0,12,34,6,0,10,9,6
2022.1,7,9,1,11,7,6,1,12,26,7
2022.2,15,12,0,16,35,4,2,14,9,8
2023.1,9,7,0,7,4,12,2,6,32,8
2023.2,19,35,0,23,37,14,0,7,8,13
2024.1,0,9,0,9,2,3,0,4,31,10
2024.2,30,44,0,28,45,16,1,10,5,33
2025.1,4,10,0,9,3,12,1,7,31,17
2025.2,25,38,0,26,41,12,1,7,8,37
2026.1,3,11,0,10,3,9,1,7,31,24
