semestre_conclusao,111635055 - GEOGRAFIA,111635060 - HISTÓRIA,118589266 - HISTÓRIA,2000012 - CIÊNCIAS CONTÁBEIS,2000019 - DIREITO,2000044 - GEOGRAFIA,2000047 - HISTÓRIA,2000055 - MATEMÁTICA,2000064 - PEDAGOGIA,7191770 - SISTEMAS DE INFORMAÇÃO
2020.1,4.18,4.43,5.74,5.32,4.98,4.46,4.74,4.92,4.72,5.8
2020.2,4.18,4.42,5.74,5.32,4.98,4.48,4.73,4.9,4.73,5.77
2021.1,4.18,4.44,5.74,5.34,5.0,4.48,4.73,4.9,4.72,5.95
2021.2,4.16,4.44,5.74,5.33,5.0,4.47,4.73,4.99,4.72,6.05
2022.1,4.17,4.45,6.1,5.36,5.01,4.54,4.72,4.99,4.73,6.18
2022.2,4.17,4.45,6.1,5.36,5.01,4.56,4.7,4.97,4.74,6.18
2023.1,4.17,4.47,6.1,5.38,5.03,4.62,4.8,4.99,4.74,6.24
2023.2,4.21,4.48,6.1,5.4,5.03,4.7,4.8,5.0,4.75,6.35
2024.1,4.21,4.52,6.1,5.42,5.03,4.72,4.8,5.0,4.75,6.37
2024.2,4.22,4.52,6.1,5.46,5.02,4.74,4.8,4.98,4.76,6.17
2025.1,4.22,4.53,6.1,5.47,5.02,4.74,4.8,4.98,4.76,6.08
2025.2,4.22,4.53,6.1,5.49,5.02,4.75,4.8,4.98,4.76,6.05
2026.1,4.22,4.53,6.1,5.5,5.02,4.75,4.8,4.98,4.76,6.04
