semestre_conclusao,111635055 - GEOGRAFIA,111635060 - HISTÓRIA,118589266 - HISTÓRIA,2000012 - CIÊNCIAS CONTÁBEIS,2000019 - DIREITO,2000044 - GEOGRAFIA,2000047 - HISTÓRIA,2000055 - MATEMÁTICA,2000064 - PEDAGOGIA,7191770 - SISTEMAS DE INFORMAÇÃO
2009.1,5.5,0.0,4.92,5.0,5.5,0.0,0.0,6.17,4.72,0.0
2009.2,4.21,4.0,5.7,5.33,5.02,0.0,0.0,4.66,5.0,0.0
2010.1,0.0,4.5,6.9,7.5,0.0,0.0,0.0,6.5,4.62,0.0
2010.2,4.16,4.08,8.0,5.44,5.02,0.0,0.0,4.45,6.0,0.0
2011.1,4.5,0.0,6.5,6.5,0.0,0.0,0.0,3.5,4.62,0.0
2011.2,4.21,4.25,9.0,5.56,5.09,0.0,0.0,4.5,5.33,0.0
2012.1,4.9,5.5,8.5,5.19,3.5,0.0,0.0,0.0,4.56,0.0
2012.2,4.11,4.32,8.0,5.42,4.83,4.04,4.0,4.7,5.0,0.0
2013.1,3.5,6.5,8.5,6.1,5.29,4.17,4.5,4.94,4.71,4.5
2013.2,4.23,4.21,0.0,5.24,5.04,4.05,4.13,4.77,4.67,0.0
2014.1,0.0,4.5,0.0,5.5,5.75,3.5,4.83,5.5,4.7,5.5
2014.2,3.92,4.29,0.0,5.0,5.01,4.07,4.89,0.0,0.0,5.67
2015.1,4.5,0.0,0.0,5.75,3.25,4.75,4.77,5.4,4.48,5.5
2015.2,4.04,5.5,0.0,5.2,5.0,4.4,5.2,4.44,5.12,5.0
2016.1,4.17,4.79,0.0,6.5,5.3,4.91,5.1,4.7,4.54,6.5
2016.2,4.06,4.25,0.0,5.18,4.95,4.41,4.75,6.22,4.86,5.86
2017.1,5.5,6.5,0.0,5.5,5.12,4.7,7.5,5.5,4.55,4.5
2017.2,4.17,4.43,0.0,5.38,5.35,5.12,4.83,4.67,5.4,6.4
2018.1,4.5,6.0,0.0,5.5,5.17,4.83,0.0,6.5,4.62,6.33
2018.2,4.43,4.77,0.0,5.11,4.94,5.0,5.67,5.25,5.0,5.93
2019.1,5.0,5.0,0.0,0.0,5.83,5.5,0.0,6.0,4.83,7.83
2019.2,4.2,4.23,0.0,5.2,4.68,4.46,4.33,4.6,4.6,5.9
2020.1,4.07,5.5,0.0,5.5,4.61,5.5,0.0,5.1,5.0,5.5
2020.2,4.05,4.32,0.0,5.22,5.57,5.2,4.5,2.0,4.94,5.0
2021.1,4.5,5.3,0.0,6.06,5.72,4.5,4.5,0.0,4.61,8.17
2021.2,3.96,4.46,0.0,5.25,5.04,4.33,0.0,6.7,4.78,7.33
2022.1,4.64,4.83,20.5,6.41,5.64,6.33,4.5,5.0,4.88,7.79
2022.2,4.2,4.67,0.0,5.38,4.97,5.5,4.0,4.71,5.33,6.25
2023.1,4.28,5.21,0.0,6.79,7.75,5.67,8.5,5.67,4.72,7.0
2023.2,4.95,4.69,0.0,5.74,5.08,5.79,0.0,5.57,5.25,7.23
2024.1,0.0,6.06,0.0,6.83,4.0,6.17,0.0,4.5,4.69,6.6
2024.2,4.3,4.57,0.0,6.04,4.84,4.94,5.0,4.5,6.6,5.36
